timestamp,gpu0_used_mb,gpu1_used_mb,gpu2_used_mb,gpu3_used_mb,gpu4_used_mb,gpu5_used_mb
2026-05-25 05:03:41,72767,79982,79982,79982,79982,79806
2026-05-25 05:03:51,65127,58580,58580,58740,60940,58526
2026-05-25 05:04:01,72767,79902,79902,79902,79902,79806
2026-05-25 05:04:11,35981,32854,32854,32854,32854,33098
2026-05-25 05:04:21,65825,64278,64278,64298,64298,64282
2026-05-25 05:04:31,65825,64278,64278,64298,64298,64282
2026-05-25 05:04:42,65825,64298,64298,64298,64298,64282
2026-05-25 05:04:52,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:02,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:12,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:22,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:32,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:42,65825,64298,64298,64298,64298,64282
2026-05-25 05:05:52,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:02,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:12,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:22,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:32,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:42,65825,64298,64298,64298,64298,64282
2026-05-25 05:06:52,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:02,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:13,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:23,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:33,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:43,65825,64298,64298,64298,64298,64282
2026-05-25 05:07:53,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:03,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:13,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:23,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:33,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:44,65825,64298,64298,64298,64298,64282
2026-05-25 05:08:54,65825,64298,64298,64298,64298,64282
2026-05-25 05:09:04,65825,64298,64298,64298,64298,64282
2026-05-25 05:09:14,60181,57594,57594,57594,57594,57438
2026-05-25 05:09:24,60181,57594,57596,57594,57594,57540
2026-05-25 05:09:34,60183,57596,57596,57596,57596,57540
2026-05-25 05:09:45,22383,19536,19536,19536,19536,19420
2026-05-25 05:09:55,34487,31740,31740,20716,19536,19420
2026-05-25 05:10:05,75187,72360,72360,72420,72420,72264
2026-05-25 05:10:15,46467,44400,44400,44400,44400,44326
2026-05-25 05:10:26,72967,80242,80242,80242,80242,79986
2026-05-25 05:10:36,46147,44080,44080,44080,44080,44026
2026-05-25 05:10:46,73107,80162,80162,80162,80162,79846
2026-05-25 05:10:56,78107,80222,80222,80222,80222,80006
2026-05-25 05:11:06,65627,63380,63540,63380,63380,63266
2026-05-25 05:11:16,72967,80102,80102,80102,80102,80006
2026-05-25 05:11:26,55867,53860,53860,53860,54760,53766
2026-05-25 05:11:36,72967,80102,80102,80102,80102,80006
2026-05-25 05:11:46,58267,63622,58142,61122,59882,60206
2026-05-25 05:11:56,72967,80122,80122,80122,80122,80006
2026-05-25 05:12:06,71267,72422,73022,73002,73442,73486
2026-05-25 05:12:16,69627,80062,80062,80062,80062,79846
2026-05-25 05:12:27,73047,72562,73242,73182,72342,72786
2026-05-25 05:12:37,71987,80082,80082,80082,80082,79846
2026-05-25 05:12:47,72967,80102,80102,80102,80102,80146
2026-05-25 05:12:57,45647,44100,44100,44100,44100,43986
2026-05-25 05:13:07,72967,80102,80102,80102,80102,80146
2026-05-25 05:13:17,42345,43738,43038,43218,43738,43624
2026-05-25 05:13:27,72967,80082,80082,80082,80082,80146
2026-05-25 05:13:37,39127,40400,40182,39000,37342,37626
2026-05-25 05:13:47,22285,22958,23178,22458,22758,22862
2026-05-25 05:13:58,42481,41114,63616,39954,38614,63600
2026-05-25 05:14:08,65825,64278,64278,64278,64298,64382
2026-05-25 05:14:18,65825,64280,64298,64298,64298,64382
2026-05-25 05:14:28,65825,64280,64298,64298,64298,64382
2026-05-25 05:14:38,65825,64300,64298,64298,64298,64382
2026-05-25 05:14:49,65825,64300,64298,64298,64298,64382
2026-05-25 05:14:59,65825,64300,64298,64298,64298,64382
2026-05-25 05:15:09,65825,64300,64298,64298,64298,64382
2026-05-25 05:15:19,65825,64300,64298,64298,64298,64382
2026-05-25 05:15:29,65825,64300,64298,64298,64298,64382
2026-05-25 05:15:39,65825,64300,64298,64298,64298,64382
2026-05-25 05:15:50,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:00,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:10,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:20,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:30,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:40,65825,64300,64298,64298,64298,64382
2026-05-25 05:16:50,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:00,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:10,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:20,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:30,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:40,65825,64300,64298,64298,64298,64382
2026-05-25 05:17:50,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:01,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:11,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:21,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:31,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:41,65825,64300,64298,64298,64298,64382
2026-05-25 05:18:51,65825,64300,64298,64298,64298,64382
2026-05-25 05:19:01,65825,64300,64298,64298,64298,64382
2026-05-25 05:19:11,51201,60334,49834,53574,52674,56978
2026-05-25 05:19:21,63241,60334,60334,60334,60334,60278
2026-05-25 05:19:31,63243,60336,60336,60336,60336,60280
2026-05-25 05:19:41,22381,19574,19574,19574,19574,19418
2026-05-25 05:19:51,34781,19574,19574,19574,19574,19418
2026-05-25 05:20:01,34781,31974,31974,23714,19574,19418
2026-05-25 05:20:12,77681,74894,74894,74894,75094,74838
2026-05-25 05:20:22,44881,44496,45976,42736,42476,46300
2026-05-25 05:20:32,75701,68976,72976,68976,72916,68900
2026-05-25 05:20:42,76161,73436,73376,73436,73376,73360
2026-05-25 05:20:52,46421,43754,43754,43754,43754,43620
2026-05-25 05:21:02,76161,73436,73376,73376,73436,73360
2026-05-25 05:21:13,53921,55816,55856,55156,54316,56780
2026-05-25 05:21:23,72241,65456,64536,66416,64896,68900
2026-05-25 05:21:33,76161,73436,73436,73376,73436,73360
2026-05-25 05:21:43,46741,44074,44074,44074,44074,43938
2026-05-25 05:21:53,76161,73436,73436,73436,73436,73300
2026-05-25 05:22:03,60061,59496,58776,58896,58696,59960
2026-05-25 05:22:14,46221,43554,43554,43554,43554,43418
2026-05-25 05:22:24,76161,73376,73376,73436,73376,73360
2026-05-25 05:22:34,72041,73556,71856,72296,71856,72760
2026-05-25 05:22:44,73621,80796,77756,76936,80016,77318
2026-05-25 05:22:54,76161,73376,73436,73436,73436,73360
2026-05-25 05:23:04,45241,42774,42774,42774,42774,42938
2026-05-25 05:23:14,80921,77454,77456,77456,77454,72660
2026-05-25 05:23:24,76161,73436,73376,73436,73436,73360
2026-05-25 05:23:34,37721,39134,39134,39134,39134,39058
2026-05-25 05:23:44,76161,73436,73436,73436,73436,73300
2026-05-25 05:23:54,76161,73376,73436,73436,73436,73360
2026-05-25 05:24:05,46861,44074,44074,44074,19214,18738
2026-05-25 05:24:15,41161,38214,41154,37914,34954,52660
2026-05-25 05:24:25,65705,64218,64218,64218,64218,64282
2026-05-25 05:24:35,65705,64218,64218,64218,64218,64282
2026-05-25 05:24:45,65705,64218,64218,64218,64218,64282
2026-05-25 05:24:55,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:05,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:15,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:25,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:35,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:45,65705,64218,64218,64218,64218,64282
2026-05-25 05:25:55,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:06,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:16,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:26,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:36,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:46,65705,64218,64218,64218,64218,64282
2026-05-25 05:26:56,65705,64218,64218,64218,64218,64282
2026-05-25 05:27:06,65705,64218,64218,64218,64218,64282
2026-05-25 05:27:16,65705,64218,64218,64218,64218,64282
2026-05-25 05:27:26,65705,64218,64218,64218,64218,64282
2026-05-25 05:27:36,58865,59298,61398,62358,63598,64042
2026-05-25 05:27:46,60101,57254,57254,57254,57254,57258
2026-05-25 05:27:56,60101,57254,57254,57254,57254,57260
2026-05-25 05:28:06,60103,57256,57256,57256,57256,57260
2026-05-25 05:28:16,32685,19536,19536,19536,19536,19440
2026-05-25 05:28:26,34467,31720,31720,31720,19536,19440
2026-05-25 05:28:36,63787,67880,67560,67040,67380,66384
2026-05-25 05:28:46,72307,79402,79402,79402,79402,79306
2026-05-25 05:28:56,48567,48702,52122,52562,52862,50686
2026-05-25 05:29:07,71807,79542,79542,79542,79542,79426
2026-05-25 05:29:17,53447,56782,56382,57582,55882,55406
2026-05-25 05:29:27,77367,75042,79262,75322,79262,74486
2026-05-25 05:29:37,77627,79422,79422,79422,79422,79426
2026-05-25 05:29:47,63927,79282,79282,79282,79282,79166
2026-05-25 05:29:57,77627,79402,79402,79402,79402,79306
2026-05-25 05:30:07,77867,79262,79262,79262,79262,79146
2026-05-25 05:30:17,72267,79422,79422,79422,79422,79306
2026-05-25 05:30:27,42325,37840,34700,34700,34700,34564
2026-05-25 05:30:37,72267,79562,79562,79562,79562,79426
2026-05-25 05:30:47,42325,34680,38840,37580,38840,34584
2026-05-25 05:30:58,72267,79562,79562,79562,79562,79326
2026-05-25 05:31:08,42325,34720,34720,34720,34720,34584
2026-05-25 05:31:18,72267,79422,79422,79422,79422,79306
2026-05-25 05:31:28,54687,58542,58222,56542,56482,60066
2026-05-25 05:31:38,68367,79262,79262,79262,79262,79286
2026-05-25 05:31:48,77627,79562,79562,79562,79562,79306
2026-05-25 05:31:58,67865,79262,79262,79262,79262,79146
2026-05-25 05:32:09,72267,79562,79562,79562,79562,79446
2026-05-25 05:32:19,35981,32854,32854,32854,32854,33098
2026-05-25 05:32:29,65825,64278,64298,64278,64298,64382
2026-05-25 05:32:39,65825,64278,64298,64278,64298,64382
2026-05-25 05:32:49,65825,64298,64298,64278,64298,64382
2026-05-25 05:32:59,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:09,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:19,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:29,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:39,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:49,65825,64298,64298,64278,64298,64382
2026-05-25 05:33:59,65825,64298,64298,64278,64298,64382
2026-05-25 05:34:09,59061,56334,56334,56334,56334,56318
2026-05-25 05:34:19,59061,56334,56334,56334,56334,56318
2026-05-25 05:34:30,59063,56336,56336,56336,56336,56320
2026-05-25 05:34:40,22383,19516,19516,19516,19516,19420
2026-05-25 05:34:50,34387,31660,31660,19516,19516,19420
2026-05-25 05:35:00,71447,68700,68700,68900,68700,68584
2026-05-25 05:35:10,46805,80482,80482,80482,80482,80366
2026-05-25 05:35:20,71347,78422,78422,78422,78422,78286
2026-05-25 05:35:30,71347,80502,80502,80502,80502,80746
2026-05-25 05:35:40,81047,80502,80502,80502,80502,80746
2026-05-25 05:35:50,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:00,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:10,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:20,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:30,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:40,81047,80502,80502,80502,80502,80746
2026-05-25 05:36:51,81047,80502,80502,80502,80502,80746
2026-05-25 05:37:01,81047,80502,80502,80502,80502,80746
2026-05-25 05:37:11,81047,80502,80502,80502,80502,80746
2026-05-25 05:37:21,81047,80502,80502,80502,80502,80746
2026-05-25 05:37:31,35981,32854,32854,32854,32854,32758
2026-05-25 05:37:41,65705,64278,64278,64278,64298,64222
2026-05-25 05:37:51,65705,64278,64278,64278,64298,64222
2026-05-25 05:38:01,65705,64278,64278,64298,64298,64222
2026-05-25 05:38:11,65705,64298,64278,64298,64298,64222
2026-05-25 05:38:21,65705,64298,64278,64298,64298,64222
2026-05-25 05:38:31,65705,64298,64278,64298,64298,64222
2026-05-25 05:38:41,65705,64298,64278,64298,64298,64222
2026-05-25 05:38:51,65705,64298,64278,64298,64298,64222
2026-05-25 05:39:01,65705,64298,64278,64298,64298,64222
